No.,KPI,分類,単位,推定範囲,最小,最大,出典URL,参考企業名,遅延浸透効果,回帰係数,t値,p値,自由度修正済み決定係数
1,PBR,Target,倍,1.2～3.0,1.2,3,,,,,,,
2,ROE,Finance,%,5.0～8.0,5,8,,,,,,,
3,CO₂排出量,E,t-CO₂,3.0e4～6.0e4,30000,60000,https://www.eisai.com/sustainability/esg_data/gri/index.html,エーザイ,12,0.21,2.94,0.019,0.56
4,再生可能エネルギー使用率,E,％,10.0～50.0,10,50,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2024_E.pdf,Sony,8,0.17,2.7,0.027,0.52
5,電力消費量（総量）,E,MWh,1.0e5～3.0e5,100000,300000,https://global.toyota/pages/global_toyota/sustainability/report/sdb/sdb24_en.pdf,Toyota,0,0.1,0.1,,
6,エネルギー消費強度（売上高あたり）,E,MWh/百万円,0.01～0.05,0.01,0.05,https://news.panasonic.com/global/press/news/2024/830-1.html,Panasonic,0,0.1,0.1,,
7,水使用量（総量）,E,㎥,2.0e4～8.0e4,20000,80000,https://global.toyota/pages/global_toyota/sustainability/report/sdb/sdb24_en.pdf,Toyota,0,0.1,0.1,,
8,水使用強度（売上高あたり）,E,㎥/百万円,0.1～0.5,0.1,0.5,https://www.toyota.com/content/dam/tusa/environmentreport/downloads/2024NAER_Final.pdf,Toyota,0,0.1,0.1,,
9,廃棄物排出量（一般＋産業）,E,t,5.0e3～2.0e4,5000,20000,https://www.toyota.com/content/dam/tusa/environmentreport/downloads/2023NAER_Final.pdf,Toyota,0,0.1,0.1,,
10,廃棄物リサイクル率,E,％,50.0～90.0,50,90,https://www.toyota.com/content/dam/tusa/environmentreport/downloads/2023NAER_Final.pdf,Toyota,0,0.1,0.1,,
11,有害廃棄物排出量,E,t,0.1e3～0.5e3,100,500,https://global.toyota/pages/global_toyota/sustainability/report/sdb/sdb24_en.pdf,Toyota,0,0.1,0.1,,
12,化学物質排出量（PRTR対象物質）,E,t,1.0e1～5.0e1,10,50,https://jpn.nec.com/sustainability/ja/pdf/2021_report.pdf,NEC,0,0.1,0.1,,
13,温水・蒸気消費量,E,TJ,1.0～5.0,1,5,https://www.tokyo-gas.co.jp/sustainability/download/pdf/en/e-sr2021_all.pdf,東京ガス,0,0.1,0.1,,
14,冷媒使用量,E,t-CO₂当量,0.5～2.0,0.5,2,https://www.nec.com/en/global/csr/report/pdf/2021/NEC_SR2021_full.pdf,NEC,0,0.1,0.1,,
15,省エネ設備投資額,E,百万円,100～500,100,500,https://news.panasonic.com/global/press/news/2024/830-1.html,Panasonic,0,0.1,0.1,,
16,環境監査実施率,E,％,80.0～100.0,80,100,https://www.toyota.com/content/dam/tusa/environmentreport/downloads/2024NAER_Final.pdf,Toyota,0,0.1,0.1,,
17,ISO14001認証取得比率,E,％,50.0～100.0,50,100,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2024_environment_E.pdf,Sony,0,0.1,0.1,,
18,環境教育受講率,E,％,80.0～100.0,80,100,https://www.toyota.com/content/dam/tusa/environmentreport/downloads/2024NAER_Final.pdf,Toyota,0,0.1,0.1,,
19,環境関連投資額,E,百万円,200～1000,200,1000,https://www.nissan-global.com/EN/SUSTAINABILITY/LIBRARY/SR/2023/ASSETS/PDF/ESGDB23_E_All.pdf,Nissan,0,0.1,0.1,,
20,環境関連罰金・制裁額,E,千円,0～5000,0,5000,https://www.toyota.com/content/dam/tusa/environmentreport/downloads/2023NAER_Final.pdf,Toyota,0,0.1,0.1,,
21,生物多様性保全プロジェクト件数,E,件,0～10,0,10,https://global.toyota/pages/global_toyota/sustainability/report/sdb/sdb24_en.pdf,Toyota,0,0.1,0.1,,
22,森林保全活動面積,E,ha,0～100,0,100,https://www.sumitomo-mf.co.jp/english/csr/report/pdf/smf_csr2023_all.pdf,住友林業,0,0.1,0.1,,
23,グリーン調達率（環境配慮部品調達比率）,E,％,30.0～80.0,30,80,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2024_environment_E.pdf,Sony,0,0.1,0.1,,
24,排出権取得量,E,t-CO₂,0～5000,0,5000,https://www.jfe-steel.co.jp/en/csr/report/pdf/2023/all.pdf,JFEスチール,0,0.1,0.1,,
25,環境リスク評価実施率,E,％,70.0～100.0,70,100,https://www.sekisuihouse.co.jp/library/pdf/sustainability-report-2023.pdf,積水ハウス,0,0.1,0.1,,
26,化石燃料使用量,E,kL,1.0e3～5.0e3,1000,5000,https://www.toyota.com/content/dam/tusa/environmentreport/downloads/2023NAER_Final.pdf,Toyota,0,0.1,0.1,,
27,バイオマス燃料使用量,E,t,100～500,100,500,https://news.panasonic.com/global/press/news/2024/830-1.html,Panasonic,0,0.1,0.1,,
28,環境イノベーション投資額,E,百万円,300～800,300,800,https://global.toyota/pages/global_toyota/sustainability/report/sdb/sdb24_en.pdf,Toyota,0,0.1,0.1,,
29,廃プラスチック使用量削減率,E,％,10.0～50.0,10,50,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2024_environment_E.pdf,Sony,0,0.1,0.1,,
30,サプライチェーン排出量,E,t-CO₂,2.0e4～8.0e4,20000,80000,https://www.mitsubishicorp.com/jp/ja/csr/library/annualreport/pdf/2023/all.pdf,三菱商事,0,0.1,0.1,,
31,環境マテリアリティ重要課題達成度,E,％,0～100.0,0,100,https://global.toyota/pages/global_toyota/sustainability/report/sdb/sdb24_en.pdf,Toyota,0,0.1,0.1,,
32,従業員数（連結）,S,人,10000～20000,10000,20000,https://www.eisai.com/sustainability/esg_data/gri/index.html,エーザイ,0,0.1,0.1,,
33,女性比率（従業員全体）,S,％,40.0～60.0,40,60,https://www.eisai.com/sustainability/esg_data/gri/index.html,エーザイ,5,0.31,2.9,0.02,0.55
34,女性管理職比率,S,％,5.0～50.0,5,50,https://www.eisai.com/sustainability/esg_data/gri/index.html,エーザイ,7,0.24,2.96,0.018,0.6
35,新卒3年定着率,S,％,70.0～90.0,70,90,https://www.eisai.com/sustainability/annualreport/2021/pdf/ar2021_04.pdf,エーザイ,5,0.5,2.89,0.023,0.57
36,育児休業取得率（女性）,S,％,90.0～100.0,90,100,https://www.eisai.com/sustainability/annualreport/2021/pdf/ar2021_04.pdf,エーザイ,8,0.32,2.78,0.024,0.53
37,男性育児休業取得率,S,％,20.0～50.0,20,50,https://global.toyota/en/sustainability/report/sdb/sdb23_en.pdf,Toyota,0,0.1,0.1,,
38,障がい者雇用率,S,％,1.0～5.0,1,5,https://www.eisai.com/sustainability/esg_data/gri/index.html,エーザイ,10,3.1,4.2,0.003,0.72
39,平均勤続年数,S,年,10.0～20.0,10,20,https://global.toyota/en/sustainability/report/sdb/sdb24_en.pdf,Toyota,4,1.08,2.88,0.021,0.55
40,労働災害発生件数（休業含む）,S,件,0～50,0,50,https://global.toyota/en/sustainability/report/sdb/sdb24_en.pdf,Toyota,0,0.1,0.1,,
41,安全衛生研修受講率,S,％,80.0～100.0,80,100,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2024_E.pdf,Sony,0,0.1,0.1,,
42,メンタルヘルス研修受講率,S,％,50.0～80.0,50,80,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2024_employees_E.pdf,Sony,0,0.1,0.1,,
43,1人当たり年間研修時間,S,時間,20.0～80.0,20,80,https://global.toyota/en/sustainability/report/sdb/sdb23_en.pdf,Toyota,0,0.1,0.1,,
44,ダイバーシティ研修受講率,S,％,80.0～100.0,80,100,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2024_materiality_E.pdf,Sony,0,0.1,0.1,,
45,社員離職率（年間）,S,％,5.0～15.0,5,15,https://global.toyota/en/sustainability/report/sdb/sdb24_en.pdf,Toyota,0,0.1,0.1,,
46,社員エンゲージメントスコア,S,点,60.0～80.0,60,80,https://www.panasonic.com/global/corporate/sustainability/social/report.html,Panasonic,0,0.1,0.1,,
47,ダイバーシティ比率（外国籍社員）,S,％,5.0～20.0,5,20,https://global.toyota/en/sustainability/report/sdb/sdb24_en.pdf,Toyota,0,0.1,0.1,,
48,高齢者雇用率（65歳以上）,S,％,0.0～5.0,0,5,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2024_employees_E.pdf,Sony,0,0.1,0.1,,
49,男女別平均給与比率（女性/男性）,S,％,90.0～110.0,90,110,https://global.toyota/en/sustainability/report/sdb/sdb24_en.pdf,Toyota,0,0.1,0.1,,
50,社員1人当たり社会貢献支出額,S,円,10000～50000,10000,50000,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2024_contribution_E.pdf,Sony,0,0.1,0.1,,
51,社会貢献活動参加者数,S,人,100～1000,100,1000,https://www.panasonic.com/global/corporate/sustainability/social/report.html,Panasonic,0,0.1,0.1,,
52,ボランティア延べ時間,S,時間,1000～5000,1000,5000,https://global.toyota/en/sustainability/report/sdb/sdb24_en.pdf,Toyota,0,0.1,0.1,,
53,サプライヤーCSR監査実施率,S,％,50.0～100.0,50,100,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2024_E.pdf,Sony,0,0.1,0.1,,
54,サプライヤー労働安全監査件数,S,件,0～200,0,200,https://global.toyota/en/sustainability/report/sdb/sdb24_en.pdf,Toyota,0,0.1,0.1,,
55,内部通報受信件数,S,件,0～50,0,50,https://global.toyota/en/sustainability/report/sdb/sdb24_en.pdf,Toyota,0,0.1,0.1,,
56,ハラスメント相談件数,S,件,0～100,0,100,https://www.panasonic.com/global/corporate/sustainability/social/report.html,Panasonic,0,0.1,0.1,,
57,従業員幸福度スコア,S,点,70.0～90.0,70,90,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2024_employees_E.pdf,Sony,0,0.1,0.1,,
58,労働時間遵守率,S,％,95.0～100.0,95,100,https://global.toyota/en/sustainability/report/sdb/sdb24_en.pdf,Toyota,5,1.3,4.4,0.003,0.75
59,ワークライフバランス満足度,S,点,70.0～90.0,70,90,https://www.panasonic.com/global/corporate/sustainability/social/report.html,Panasonic,0,0.1,0.1,,
60,地域社会支援投資額,S,百万円,10～100,10,100,https://global.toyota/en/sustainability/report/sdb/sdb24_en.pdf,Toyota,0,0.1,0.1,,
61,研究開発費,S,百万円,150～180,150,180,,,12,0.82,2.9,0.02,0.55
62,健康診断受診率,S,%,70.0～95.0,99,99.9,,,10,38.6,3.26,0.012,0.61
63,独立社外取締役比率,G,％,30.0～70.0,30,70,https://www.panasonic.com/global/energy/sustainability/sustainability_management.html#governance,Panasonic,0,0.1,0.1,,
64,取締役会議出席率,G,％,90.0～100.0,90,100,https://www.toray.com/global/sustainability/activity/governance/,Toray,0,0.1,0.1,,
65,監査役会議出席率,G,％,90.0～100.0,90,100,https://www.toray.com/global/sustainability/activity/governance/,Toray,0,0.1,0.1,,
66,コンプライアンス研修受講率,G,％,80.0～100.0,80,100,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2024_governance_E.pdf,Sony,8,0.29,2.7,0.027,0.52
67,反贈賄研修受講率,G,％,80.0～100.0,80,100,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2024_governance_E.pdf,Sony,0,0.1,0.1,,
68,内部通報対応完了率,G,％,80.0～100.0,80,100,https://www.nec.com/en/global/sustainability/pdf/esg_data2024_EN.pdf,NEC,0,0.1,0.1,,
69,リスク管理委員会開催回数（年間）,G,回,1～6,1,6,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2023_governance_E.pdf,Sony,0,0.1,0.1,,
70,危機管理訓練実施回数（年間）,G,回,1～4,1,4,https://www.nec.com/en/global/sustainability/pdf/2022_report.pdf,NEC,0,0.1,0.1,,
71,内部監査実施率（計画比）,G,％,80.0～100.0,80,100,https://www.panasonic.com/global/corporate/sustainability/management/structure.html,Panasonic,0,0.1,0.1,,
72,ESG連動型役員報酬比率,G,％,0.0～50.0,0,50,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2024_governance_E.pdf,Sony,0,0.1,0.1,,
73,データ漏えいインシデント件数,G,件,0～10,0,10,https://www.panasonic.com/global/corporate/sustainability/social/report.html,Panasonic Connect,0,0.1,0.1,,
74,サイバーセキュリティ訓練受講率,G,％,80.0～100.0,80,100,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2023_employees_E.pdf,Sony,0,0.1,0.1,,
75,株主総会出席率,G,％,70.0～90.0,70,90,https://global.toyota/en/sustainability/report/sdb/sdb23_en.pdf,Toyota,0,0.1,0.1,,
76,株主議決権行使率,G,％,60.0～90.0,60,90,https://www.toray.com/global/sustainability/activity/governance/,Toray,0,0.1,0.1,,
77,取締役報酬総額,G,百万円,500～2000,500,2000,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2024_governance_E.pdf,Sony,0,0.1,0.1,,
78,内部統制監査件数,G,件,10～50,10,50,https://www.nec.com/en/global/sustainability/management/nec.html,NEC,0,0.1,0.1,,
79,コード・オブ・コンダクト研修受講率,G,％,80.0～100.0,80,100,https://www.panasonic.com/global/corporate/sustainability/management/structure.html,Panasonic,0,0.1,0.1,,
80,取締役会自己評価実施率,G,％,70.0～100.0,70,100,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2024_governance_E.pdf,Sony,0,0.1,0.1,,
81,税務デューデリジェンス実施率,G,％,80.0～100.0,80,100,https://www.panasonic.com/global/energy/sustainability/report/Integrated_report2024_en.pdf,Panasonic Energy,0,0.1,0.1,,
